team_code,clubelo_name,understat_name,footballdata_couk_name,openfootball_name
1,Man United,,Man United,Manchester United; Manchester United FC
102,Luton,,Luton,
11,Everton,,Everton,
110,Stoke,,Stoke,
13,Leicester,,Leicester,Leicester City
14,Liverpool,,Liverpool,Liverpool FC
17,Forest,,Nott'm Forest,
2,Leeds,,Leeds,
20,Southampton,,Southampton,
21,West Ham,,West Ham,
25,Middlesbrough,,Middlesbrough,
3,Arsenal,,Arsenal,Arsenal FC
31,Crystal Palace,,Crystal Palace,Crystal Palace
35,West Brom,,West Brom,
36,Brighton,,Brighton,
38,Huddersfield,,Huddersfield,
39,Wolves,,Wolves,
4,Newcastle,,Newcastle,Newcastle United FC
40,Ipswich,,Ipswich,
43,Man City,,Man City,Manchester City; Manchester City FC
45,Norwich,,Norwich,
49,Sheffield United,,Sheffield United,
54,Fulham,,Fulham,
56,Sunderland,,Sunderland,
57,Watford,,Watford,
6,Tottenham,,Tottenham,Tottenham Hotspur; Tottenham Hotspur FC
7,Aston Villa,,Aston Villa,Aston Villa FC
8,Chelsea,,Chelsea,Chelsea FC
80,Swansea,,Swansea,
88,Hull,,Hull,
90,Burnley,,Burnley,
91,Bournemouth,,Bournemouth,
94,Brentford,,Brentford,
97,Cardiff,,Cardiff,
